Transaction Description,Type,Category,Amount ($)
c8omcast charge,Expense,Utilities,89.18
Received property lease payment,Income,Rent Income,7007.45
investment return credited to account,Income,Interest/Dividends,1446.25
Credited from birthday gift money,Income,Gift/Bonus,9093.55
gym membership monthly bill,Expense,Health & Medical,389.99
PAiD bP gaS Via caRd,Expense,Transportation,236.53
Received performance bonus,Income,Gift/Bonus,5546.03
PURChase at maKemyTriP,Expense,Travel,577.69
Bank CRedit3 fRom cAsh prIzE,Income,Gift/Bonus,5371.57
Income via contract project payment,Income,Freelance,5825.91
Bank credit from paypal refund,Income,Refunds,2185.95
Payment to uber trip,Expense,Transportation,736.26
company payroll credited to account,Income,Salary,999.33
hulu monthly bill,Expense,Subscriptions,966.91
R1eceived credit card cashback,Income,Refunds,544.76
Income via share sale profit,Income,Investments,9697.78
stock dividend credited to account,Income,Investments,1829.24
stock dividend credited to account,Income,Investments,6128.45
Received house rent,Income,Rent Income,1878.83
Payment to ebay,Expense,Shopping,941.92
Pay4ment to best buy,Expense,Shopping,545.33
Income via b2b invoice payment,Income,Business Revenue,2322.43
Credited from store return refund,Income,Refunds,9869.65
hospital transaction,Expense,Health & Medical,307.46
Income via performance bonus,Income,Gift/Bonus,8658.18
corporate PaymEnt dEPoSiT reCEived,Income,Salary,3139.38
CReditedfRoM CaSH prize,Income,Gift/Bonus,1393.73
metr ticket transaction,Expense,Transportation,880.24
Received house rent,Income,Rent Income,5030.62
contract project payment deposit received,Income,Freelance,370.25
Payment to oyo rooms,Expense,Travel,243.12
BAnK cREDit from tenant PaYmeNt,Income,Rent Income,8030.23
spectrum transaction,Expense,Utilities,469.8
dividend credit deposit received,Income,Interest/Dividends,6438.17
costco monthly bill,Expense,Groceries,516.66
kroger tr#ansaction,Expense,Groceries,194.42
Paid ikea via card,Expense,Shopping,665.48
BaNK creDIt FROM amAzon refuNd,Income,Refunds,2649.62
verizon - order #9589,Expense,Utilities,182.13
walmart grocery charge,Expense,Groceries,745.7
PaYMent recEiVeD: cLiENt transFer,Income,Freelance,3717.64
walgreens charge,Expense,Health & Medical,572.63
Income via birthday gift money,Income,Gift/Bonus,5023.29
Income via crypto gain,Income,Investments,4488.41
Income via nse return,Income,Investments,4826.78
Credited from shop revenue,Income,Business Revenue,3964.45
Purchase at meijer,Expense,Groceries,194.39
Payment received: client transfer,Income,Freelance,1497.9
city water monthly bill,Expense,Utilities,247.96
dividend credit credited to account,Income,Interest/Dividends,9981.62
PAid kfC viA cARd,Expense,Restaurants,78.12
grubhub monthly bill,Expense,Restaurants,57.17
hospital monthly bill,Expense,Health & Medical,761.42
Payment received: monthly salary,Income,Salary,6696.09
publix monthly bill,Expense,Groceries,23.15
Credite0d from crypto gain,Income,Investments,8548.15
Received company payroll,Income,Salary,6997.27
Payment to shell oil,Expense,Transportation,952.36
Bank credit from upwork payout,Income,Freelance,8211.86
paypal refund credited to account,Income,Refunds,5688.2
Income via 1shop revenue,Income,Business Revenue,9930.46
Income via credit card cashback,Income,Refunds,4737.72
investment return deposit received,Income,Interest/Dividends,5737.73
parking garage charge,Expense,Transportation,228.96
t-mobile charge,Expense,Utilities,700.11
Bank credit from online sale,Income,Business Revenue,7374.95
Payment to gym membership,Expense,Health & Medical,310.02
tripadvisor monthly bill,Expense,Travel,478.42
hospital monthly bill,Expense,Health & Medical,397.73
walgreens charge,Expense,Health & Medical,689.73
Payment received: office lease inco9me,Income,Rent Income,9860.73
Received property le3ase payment,Income,Rent Income,8485.7
shell oil charge,Expense,Transportation,250.22
PaymENT receIvEd: salAry From GoOgLe,Income,Salary,4728.05
Purchase at w4almart grocery,Expense,Groceries,955.17
CrEDIted from stOre deposit,Income,Business Revenue,1614.37
flipkart transaction,Expense,Shopping,173.26
airbnb - 6order #9801,Expense,Travel,781.65
Income via sal#ary from google,Income,Salary,8336.14
safeway transaction,Expense,Groceries,600.29
Payment to target,Expense,Shopping,781.38
Income via office lease income,Income,Rent Income,2293.35
Purc#ase at macys,Expense,Shopping,46.13
Bank credit from credit card cahback,Income,Refunds,901.07
Bank credit from investment return,Income,Interest/Dividends,4457.58
comcast charge,Expense,Utilities,924.69
grubhub transaction,Expense,Restaurants,666.33
electric co-op transaction,Expense,Utilities,710.43
Received salary from google,Income,Salary,6511.23
disney plus transaction,Expense,Subscriptions,697.05
ikea transaction,Expense,Shopping,17.52
Credited from cash prize,Income,Gift/Bonus,1804.56
costco transaction,Expense,Groceries,911.95
Paid aldi via card,Expense,Groceries,933.41
ikea charge,Expense,Shopping,128.97
Received fd interest,Income,Interest/Dividends,4899.69
WalgReens tRansACtIon,Expense,Health & Medical,210.0
PayMent rEceived: onlINe sALe,Income,Business Revenue,211.82
mutual fund profit deposit received,Income,Investments,552.15
gym membership c8harge,Expense,Health & Medical,932.2
Payment to spotify,Expense,Subscriptions,373.05
Pay4ment received: amazon refund,Income,Refunds,1384.8
cvs pharmacy transaction,Expense,Health & Medical,619.26
Income via birthday gift money,Income,Gift/Bonus,7669.24
Income via company payroll,Income,Salary,1754.61
PAYment to cvS phARmacy,Expense,Health & Medical,667.54
Income via upwork payout,Income,Freelance,1355.62
Received fiverr payment,Income,Freelance,8603.55
Income via property lease payment,Income,Rent Income,9055.55
Income via credit card cashback,Income,Refunds,9777.25
Purchase at starbucks,Expense,Restaurants,741.16
Payment to spectrum,Expense,Utilities,100.22
kfc chaRge,Expense,Restaurants,427.39
netflix monthly bill,Expense,Subscriptions,663.24
Income via office paycheck,Income,Salary,1759.72
PAyMenT tO pg&E BiLl,Expense,Utilities,197.06
Paid publix via card,Expense,Groceries,641.94
Payment to macys,Expense,Shopping,173.59
UrGent cAre chaRGe,Expense,Health & Medical,282.78
PURChAse At parkinG garGE,Expense,Transportation,854.67
Paid tripaDvisor via cARD,Expense,Travel,245.16
Purchase at comcast,Expense,Utilities,181.82
indigo charge,Expense,Travel,307.19
Paid urgent care via card,Expense,Health & Medical,919.34
Credited from fiverr payment,Income,Freelance,1007.11
Paid spotify via card,Expense,Subscriptions,906.27
Payment to apple music,Expense,Subscriptions,634.4
Purchase at spotify,Expense,Subscriptions,101.81
office paycheck deposit received,Income,Salary,5941.39
grubhub charge,Expense,Restaurants,727.23
fiverr payment deposit received,Income,Freelance,5670.71
myntra ransaction,Expense,Shopping,340.66
performance bonus deposit received,Income,Gift/Bonus,2779.79
3Shop Revenue crEditeD tO aCcount,Income,Business Revenue,551.79
CrediTed fROm AmazOn Refund,Income,Refunds,8971.04
Paid metro ticket via card,Expense,Transportation,241.8
Paid myntra via card,Expense,Shopping,956.63
Received office paycheck,Income,Salary,9565.85
city wa@ter transaction,Expense,Utilities,586.6
Income via monthly salary,Income,Salary,8603.88
Payment received: store return refund,Income,Refunds,958.72
subway transaction,Expense,Restaurants,701.23
Income via amazon refund,Income,Refunds,5507.03
cheVron tRAnsacTIon,Expense,Transportation,142.47
huLu MOnThLy bill,Expense,Subscriptions,650.6
Received property lease payment,Income,Rent Income,2377.33
Bank credit from stock dividend,Income,Investments,3057.5
crYpTo gaIn Credited tO accouNT,Income,Investments,5551.93
PayMEnt to safewaY,Expense,Groceries,451.23
PaYmEnt ReceiVed: BaNk INTErEst,Income,Interest/Dividends,5382.35
Income via house rent,Income,Rent Income,8954.76
amazon refund creDIted tO accOunT,Income,Refunds,606.83
comcast - order #9118,Expense,Utilities,213.34
pUBliX chaRge,Expense,Groceries,628.26
Paid hospital via card,Expense,Health & Medical,714.85
Purchase at target,Expense,Shopping,141.98
cvs pharmacy - order #8565,Expense,Health & Medical,833.0
holiday reward deposit received,Income,Gift/Bonus,4090.28
walgreens charge,Expense,Health & Medical,95.83
airbnb transaction,Expense,Travel,334.38
Bank credit from store return refund,Income,Refunds,5049.13
ReCEIvED tenanT PaymEnt,Income,Rent Income,7049.33
Bank credit from b2b invoice payment,Income,Business Revenue,4445.56
Income via holiday reward,Income,Gift/Bonus,6647.69
birthday gift money deposit received,Income,Gift/Bonus,1133.19
mcdonald - order #6282,Expense,Restaurants,847.67
apple music4 charge,Expense,Subscriptions,481.37
Purchase at wal#mart,Expense,Shopping,799.92
nse7 return credited to account,Income,Investments,1070.15
Purchase at verizon,Expense,Utilities,746.19
Received mutual fund profit,Income,Investments,6177.02
cItY WaTer MonthlY BIlL,Expense,Utilities,360.57
e0lectric o-op charge,Expense,Utilities,491.96
Received nse return,Income,Investments,9801.12
Payment rceived: mutual fund pr@ofit,Income,Investments,5204.1
Bank credit from bank in8terest,Income,Interest/Dividends,9378.09
tenant payment deposit received,Income,Rent Income,5974.88
shell oil - order #8102,Expense,Transportation,42.77
Purchase at booking.com,Expense,Travel,555.75
costco charge,Expense,Groceries,687.8
disney plus transaction,Expense,Subscriptions,301.24
office lease income credited to account,Income,Rent Income,6848.98
spectrum monthly bill,Expense,Utilities,265.97
PAymEnT To sPotiFy,Expense,Subscriptions,866.95
Payment to airbnb,Expense,Travel,254.02
Credited from proprty lease payment,Income,Rent Income,4610.8
PAyMEnT REceived: MuTUaL funD prOFiT,Income,Investments,2700.28
walmart monthly bill,Expense,Shopping,229.29
Bank credit from bank refund,Income,Refunds,8998.96
Purchase at hospital,Expense,Health & Medical,259.19
verizon monthly bill,Expense,Utilities,533.97
Bank credit from store return refund,Income,Refunds,6523.74
Income via bank interest,Income,Interest/Dividends,7152.86
walgreens charge,Expense,Health & Medical,928.63
Rceived freelance gig,Income,Freelance,1313.38
Bank credit from fiverr payment,Income,Freelance,9311.74
Rece6ived bank interest,Income,Interest/Dividends,7506.64
gym MemberShIp MonThlY biLl,Expense,Health & Medical,959.52
Cvs Pharmacy mOnthlY biLl,Expense,Health & Medical,735.55
Received freelance gig,Income,Freelance,8061.16
Income via salary from google,Income,Salary,5216.92
Income via birthday gift money,Income,Gift/Bonus,8046.43
WalgreenS trANsACTiOn,Expense,Health & Medical,93.5
target monthly bill,Expense,Shopping,902.65
starbucks transaction,Expense,Restaurants,497.25
lyft ride monthly bill,Expense,Transportation,239.78
amaZoN RefUnD creDItEd To acCount,Income,Refunds,3668.68
Payment received: monthly salary,Income,Salary,2398.19
makemytrip monthly bill,Expense,Travel,667.9
Paymen1t received: customer payment,Income,Business Revenue,2356.73
Payment received: investment return,Income,Interest/Dividends,5949.81
Credited from tenant payment,Income,Rent Income,5510.76
kfc charge,Expense,Restaurants,251.09
nSe rEtUrn dEposit reCEIved,Income,Investments,9049.18
office paycheck deposit received,Income,Salary,5354.08
Income via house rent,Income,Rent Income,6165.49
RecEived nSe rEturn,Income,Investments,1612.73
kRoger ChArgE,Expense,Groceries,12.41
bAnk interest dEpOSIt recEIved,Income,Interest/Dividends,327.97
starbucks monthly bill,Expense,Restaurants,334.56
BAnk cRedit from MOntHly 0salary,Income,Salary,2915.04
Purchase at indigo,Expense,Travel,462.9
trader joe monthly bi1ll,Expense,Groceries,762.5
Income via store return refund,Income,Refunds,4927.37
company payroll credited to account,Income,Salary,6766.83
Payment received: fd interest,Income,Interest/Dividends,9769.69
fd interest deposit received,Income,Interest/Dividends,3507.93
b2b invoice payment credited to account,Income,Business Revenue,936.72
Credited from client transfer,Income,Freelance,9829.13
t-mobile monthly bill,Expense,Utilities,158.96
PAymeNT to AiRBnb,Expense,Travel,438.97
urgent care charge,Expense,Health & Medical,366.29
grubhub charge,Expense,Restaurants,410.49
Bank credit fr1om tenant payment,Income,Rent Income,1626.23
Bank credit from store return @refund,Income,Refunds,9070.14
Paid lyft ride via card,Expense,Transportation,922.03
CREdI8tEd FrOM ofFice leASe IncoMe,Income,Rent Income,4436.08
Credited from contract project payment,Income,Freelance,9399.02
Paid mcdonald via card,Expense,Restaurants,343.69
b2b invoice9 payment credited to account,Income,Business Revenue,2727.42
kroger monthly bill,Expense,Groceries,72.5
fiverr payment deposit received,Income,Freelance,4489.31
ReceIved nse return,Income,Investments,9046.86
Income via diviend credit,Income,Interest/Dividends,4531.56
Income via fd interest,Income,Interest/Dividends,859.32
Payment to macys,Expense,Shopping,805.91
Income via contract project payment,Income,Freelance,891.26
Paid city water via card,Expense,Utilities,614.11
cvs pharmacy transaction,Expense,Health & Medical,281.5
Purchase at hospital,Expense,Health & Medical,37.09
Credited from online sale,Income,Business Revenue,7681.39
Bank CredIT fRom offiCe PAYChEck,Income,Salary,9712.12
CreditED from investMeNt retUrN,Income,Interest/Dividends,560.2
PaiD Gym Membership vIa cArd,Expense,Health & Medical,367.35
Credited from fd interest,Income,Interest/Dividends,3239.24
youtube premium monthly bill,Expense,Subscriptions,919.6
walgreEns monthly bill,Expense,Health & Medical,644.65
Income via office paycheck,Income,Salary,4851.01
urgent care charge,Expense,Health & Medical,185.57
customer# payment credited to account,Income,Business Revenue,9853.8
cash prize deposit recei3ved,Income,Gift/Bonus,7942.66
Received performance bonus,Income,Gift/Bonus,5872.89
BaNk cRedit From tenanT PAyment,Income,Rent Income,8563.65
Received crypto gain,Income,Investments,1654.7
Bank credt from office paycheck,Income,Salary,7289.85
indIgO mOntHLy bilL,Expense,Travel,744.39
yOuTubE prEmium - orDeR #5194,Expense,Subscriptions,514.97
3oyo rooms charge,Expense,Travel,639.22
tenant payment deposit received,Income,Rent Income,7960.47
Bank cRedit From festival bonUs,Income,Gift/Bonus,3766.73
Purchase at electric co-op,Expense,Utilities,50.27
Paid indigo via card,Expense,Travel,291.97
lyft ride - order #6094,Expense,Transportation,212.92
tenant payment credited to a3ccount,Income,Rent Income,6612.33
Payment to airbnb,Expense,Travel,791.86
Paid walgreens via card,Expense,Health & Medical,760.64
Paid meijer v0ia card,Expense,Groceries,793.56
hulu charge,Expense,Subscriptions,930.75
metro ticket monthly bill,Expense,Transportation,202.34
Income via store deposit,Income,Business Revenue,6863.35
Received bank refund,Income,Refunds,2374.37
